track,artist,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Lassmichma,Plusmacher,C,0.6676860346585117,0.91798023323621,0.8864798698794372,0.3820803295571576,0.5502008032128514,0.37385086823289065,0.6778115501519758,0.39306111507408237,0.02939485219549911,2014.0,0,False
Brave,Sara Bareilles,A#/Bb,0.561671763506626,0.83596046647242,0.902946157586733,0.053964984552008245,0.005040160642570282,0.04341164453524004,0.767983789260385,0.8408400085418436,0.042128830249424674,2014.0,42,True
Aw Naw,Chris Young,D,0.6646279306829765,0.8589660108086049,0.9044888240521823,0.0368692070030896,0.06415662650602409,0.07936670071501532,0.49746707193515705,0.49965696319283215,0.03581464765133252,2013.0,20,True
Typisk Norsk,Katastrofe,B,0.5586136595310907,0.7699445566381499,0.8865301742207019,0.03676622039134913,0.028413654618473897,0.8202247191011235,0.7142857142857143,0.5449696264760806,0.03153584080318083,2015.0,0,False
Baby Shark,Pinkfong,G,0.8409785932721712,0.8399614307047999,0.9060817948588963,0.2337796086508754,0.2459839357429719,0.34831460674157305,0.5268490374873354,0.5227880941238476,0.017510928850222738,2019.0,20,True
Payphone,Maroon 5 Featuring Wiz Khalifa,E,0.7533129459734964,0.7559411818248198,0.8863457249693981,0.040576725025746656,0.013654618473895583,0.3779366700715015,0.529888551165147,0.4999159446234092,0.044271602188663,2012.0,31,True
Utopia,Axxis,D,0.5331294597349643,0.960990598734295,0.8865637104482116,0.07106076210092689,7.248995983935743e-05,0.17058222676200194,0.546099290780142,0.454257972766058,0.046290135362791064,2015.0,0,False
Be Careful,Cardi B,F#/Gb,0.8358817533129459,0.5678958629029597,0.8293006019752838,0.42327497425334704,0.02570281124497992,0.09724208375893768,0.5420466058763932,0.691884794155198,0.04018975440354098,2018.0,20,True
Sauce It Up,Lil Uzi Vert,F#/Gb,0.8287461773700304,0.5278862205791597,0.8615792209534349,0.32234809474768283,0.07178714859437751,0.12768130745658834,0.13272543059777103,0.3613563357308047,0.039447095884189654,2017.0,15,True
Antisocial,Ed Sheeran & Travis Scott,F,0.728848114169215,0.8229573327171849,0.8782131897982796,0.05097837281153451,0.13353413654618476,0.3687436159346271,0.921985815602837,0.6904172327152612,0.03047257889954176,2019.0,4,True
Deep Pockets,Drake,G,0.4821610601427115,0.8239575737752799,0.9055955195600046,0.16786817713697222,0.4839357429718876,0.6179775280898876,0.3789260385005066,0.35388676604889757,0.04259566682135416,2020.0,1,True
I Wanna Go,Britney Spears,F,0.7094801223241589,0.5458905596248698,0.8574710330834884,0.04263645726055613,0.0038052208835341367,0.3391215526046987,0.7973657548125634,0.5906684901382598,0.04008671746915926,2011.0,20,True
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,A#/Bb,0.7665647298674821,0.7159315395010198,0.8801079866525814,0.03347064881565397,0.25502008032128515,0.24821246169560773,0.5602836879432624,0.5316252675005566,0.03939181260593485,2020.0,12,True
Like A G6,Far*East Movement Featuring Cataracs & Dev,D#/Eb,0.4434250764525994,0.8369607075305149,0.8310444858057917,0.4624098867147271,0.0067871485943775105,0.11950970377936669,0.7882472137791288,0.5675464462749837,0.04139964579072326,2011.0,26,True
Qw12,Essef Effex,F#/Gb,0.2528032619775739,0.7179320216172098,0.768851551888928,0.14418125643666324,0.2349397590361446,0.3411644535240041,0.18642350557244175,0.6489756602890597,0.05894802460363475,2020.0,0,False
Say So,Doja Cat,B,0.8022426095820591,0.6729211740029348,0.8904539128393446,0.16374871266735325,0.26506024096385544,0.09233912155260468,0.7892603850050659,0.5041596052577775,0.04556075275613892,2021.0,60,True
Palm Of My Hands,JXMIN,F#/Gb,0.7461773700305809,0.6879247898743598,0.8547378305414424,0.1791967044284243,0.19779116465863456,0.5362614913176711,0.30293819655521786,0.6803941969985415,0.036301100870384684,2021.0,0,False
